id,food_id,orig_food_id,orig_food_common_name,source_id,orig_source_id,orig_source_name,source_type,orig_content,orig_unit,subklass,converted_value,final_unit
4690,506,0551,"Beef brisket, soaked in brine",2,0001,"Protein, total",Nutrient,21000.0,mg/100 g,,21000.0,mg/100g
4691,506,0551,"Beef brisket, soaked in brine",2,0002,"Protein, total-N",Nutrient,3400.0,mg/100 g,,3400.0,mg/100g
4692,506,0436,"Beef, brisket, anterior part, raw",2,0001,"Protein, total",Nutrient,17600.0,mg/100 g,,17600.0,mg/100g
4693,506,0436,"Beef, brisket, anterior part, raw",2,0002,"Protein, total-N",Nutrient,2800.0,mg/100 g,,2800.0,mg/100g
4694,506,0437,"Beef, brisket, middle part, raw",2,0001,"Protein, total",Nutrient,15900.0,mg/100 g,,15900.0,mg/100g
4695,506,0437,"Beef, brisket, middle part, raw",2,0002,"Protein, total-N",Nutrient,2500.0,mg/100 g,,2500.0,mg/100g
4696,506,0438,"Beef, brisket, posterior part, raw",2,0001,"Protein, total",Nutrient,17000.0,mg/100 g,,17000.0,mg/100g
4697,506,0438,"Beef, brisket, posterior part, raw",2,0002,"Protein, total-N",Nutrient,2700.0,mg/100 g,,2700.0,mg/100g
4698,506,0432,"Beef, chuck, raw",2,0001,"Protein, total",Nutrient,19500.0,mg/100 g,,19500.0,mg/100g
4699,506,0432,"Beef, chuck, raw",2,0002,"Protein, total-N",Nutrient,3100.0,mg/100 g,,3100.0,mg/100g
4700,506,0430,"Beef, entrecote ""cap on"", raw",2,0001,"Protein, total",Nutrient,18200.0,mg/100 g,,18200.0,mg/100g
4701,506,0430,"Beef, entrecote ""cap on"", raw",2,0002,"Protein, total-N",Nutrient,2900.0,mg/100 g,,2900.0,mg/100g
4702,506,0422,"Beef, eye of round, raw",2,0001,"Protein, total",Nutrient,21500.0,mg/100 g,,21500.0,mg/100g
4703,506,0422,"Beef, eye of round, raw",2,0002,"Protein, total-N",Nutrient,3400.0,mg/100 g,,3400.0,mg/100g
